CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Western Spindalis,Spindalis zena,Western Spindalis,Spindalis zena,892,88086
Red-legged Honeycreeper,Cyanerpes cyaneus,Red-legged Honeycreeper,Cyanerpes cyaneus,893,275491
Bananaquit,Coereba flaveola,Bananaquit,Coereba flaveola,894,88091
Yellow-faced Grassquit,Tiaris olivaceus,Yellow-faced Grassquit,Tiaris olivaceus,895,628224
Black-faced Grassquit,Tiaris bicolor,Black-faced Grassquit,Tiaris bicolor,896,94268
White-collared Seedeater,Sporophila torqueola,White-collared Seedeater,Sporophila torqueola,897,94314
Olive Sparrow,Arremonops rufivirgatus,Olive Sparrow,Arremonops rufivirgatus,898,83798
Green-tailed Towhee,Pipilo chlorurus,Green-tailed Towhee,Pipilo chlorurus,899,83842
Spotted Towhee,Pipilo maculatus,Spotted Towhee,Pipilo maculatus,900,265870
Eastern Towhee,Pipilo erythrophthalmus,Eastern Towhee,Pipilo erythrophthalmus,901,83803
Rufous-crowned Sparrow,Aimophila ruficeps,Rufous-crowned Sparrow,Aimophila ruficeps,902,84716
Canyon Towhee,Melozone fusca,Canyon Towhee,Melozone fuscus,903,1005396
California Towhee,Melozone crissalis,California Towhee,Melozone crissalis,904,1005397
Abert's Towhee,Melozone aberti,Abert's Towhee,Melozone aberti,905,1005398
Rufous-winged Sparrow,Peucaea carpalis,Rufous-winged Sparrow,Peucaea carpalis,906,1005402
Botteri's Sparrow,Peucaea botterii,Botteri's Sparrow,Peucaea botterii,907,1005393
Cassin's Sparrow,Peucaea cassinii,Cassin's Sparrow,Peucaea cassinii,908,1005403
Bachman's Sparrow,Peucaea aestivalis,Bachman's Sparrow,Peucaea aestivalis,909,1005404
American Tree Sparrow,Spizelloides arborea,American Tree Sparrow,Spizella arborea,910,1005176
Chipping Sparrow,Spizella passerina,Chipping Sparrow,Spizella passerina,911,84781
Clay-colored Sparrow,Spizella pallida,Clay-coloured Sparrow,Spizella pallida,912,84785
Brewer's Sparrow,Spizella breweri,Brewer's Sparrow,Spizella breweri,913,84787
Field Sparrow,Spizella pusilla,Field Sparrow,Spizella pusilla,914,84790
Worthen's Sparrow,Spizella wortheni,Worthen's Sparrow,Spizella wortheni,915,84793
Black-chinned Sparrow,Spizella atrogularis,Black-chinned Sparrow,Spizella atrogularis,916,84795
Vesper Sparrow,Pooecetes gramineus,Vesper Sparrow,Pooecetes gramineus,917,84704
Lark Sparrow,Chondestes grammacus,Lark Sparrow,Chondestes grammacus,918,84710
Five-striped Sparrow,Amphispiza quinquestriata,Five-striped Sparrow,Amphispiza quinquestriata,919,84751
Black-throated Sparrow,Amphispiza bilineata,Black-throated Sparrow,Amphispiza bilineata,920,84736
Sagebrush Sparrow,Artemisiospiza nevadensis,,,921,1005406
Bell's Sparrow,Artemisiospiza belli,,,922,1005407
Lark Bunting,Calamospiza melanocorys,Lark Bunting,Calamospiza melanocorys,923,83844
Savannah Sparrow,Passerculus sandwichensis,Savannah Sparrow,Passerculus sandwichensis,924,83846
Grasshopper Sparrow,Ammodramus savannarum,Grasshopper Sparrow,Ammodramus savannarum,925,83867
Baird's Sparrow,Ammodramus bairdii,Baird's Sparrow,Ammodramus bairdii,926,84674
Henslow's Sparrow,Ammodramus henslowii,Henslow's Sparrow,Ammodramus henslowii,927,84676
Le Conte's Sparrow,Ammodramus leconteii,Le Conte's Sparrow,Ammodramus leconteii,928,84681
Nelson's Sparrow,Ammodramus nelsoni,Nelson's Sparrow,Ammodramus nelsoni,929,265064
Saltmarsh Sparrow,Ammodramus caudacutus,Saltmarsh Sparrow,Ammodramus caudacutus,930,84680
Seaside Sparrow,Ammodramus maritimus,Seaside Sparrow,Ammodramus maritimus,931,84682
Fox Sparrow,Passerella iliaca,Fox Sparrow,Passerella iliaca,932,85612
Song Sparrow,Melospiza melodia,Song Sparrow,Melospiza melodia,933,85643
Lincoln's Sparrow,Melospiza lincolnii,Lincoln's Sparrow,Melospiza lincolnii,934,85634
Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Melospiza georgiana,935,85638
White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Zonotrichia albicollis,936,85610
Harris's Sparrow,Zonotrichia querula,Harris's Sparrow,Zonotrichia querula,937,84802
White-crowned Sparrow,Zonotrichia leucophrys,White-crowned Sparrow,Zonotrichia leucophrys,938,85602
Golden-crowned Sparrow,Zonotrichia atricapilla,Golden-crowned Sparrow,Zonotrichia atricapilla,939,85609
Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,Junco hyemalis,940,84754
Yellow-eyed Junco,Junco phaeonotus,Yellow-eyed Junco,Junco phaeonotus,941,84772
Pine Bunting,Emberiza leucocephalos,Pine Bunting,Emberiza leucocephalos,942,267838
Yellow-browed Bunting,Emberiza chrysophrys,Yellow-browed Bunting,Emberiza chrysophrys,943,278971
Little Bunting,Emberiza pusilla,Little Bunting,Emberiza pusilla,944,85699
Rustic Bunting,Emberiza rustica,Rustic Bunting,Emberiza rustica,945,85694
Yellow-throated Bunting,Emberiza elegans,Yellow-throated Bunting,Emberiza elegans,946,278981
Yellow-breasted Bunting,Emberiza aureola,Yellow-breasted Bunting,Emberiza aureola,947,267836
Gray Bunting,Emberiza variabilis,Grey Bunting,Emberiza variabilis,948,85701
Pallas's Bunting,Emberiza pallasi,Pallas's Bunting,Emberiza pallasi,949,85698
Reed Bunting,Emberiza schoeniclus,Reed Bunting,Emberiza schoeniclus,950,85700
Hepatic Tanager,Piranga flava,Hepatic Tanager,Piranga flava,951,88072
Summer Tanager,Piranga rubra,Summer Tanager,Piranga rubra,952,88076
Scarlet Tanager,Piranga olivacea,Scarlet Tanager,Piranga olivacea,953,88071
Western Tanager,Piranga ludoviciana,Western Tanager,Piranga ludoviciana,954,88070
Flame-colored Tanager,Piranga bidentata,Flame-coloured Tanager,Piranga bidentata,955,88080
Crimson-collared Grosbeak,Rhodothraupis celaeno,Crimson-collared Grosbeak,Rhodothraupis celaeno,956,85705
Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,Cardinalis cardinalis,957,94228
Pyrrhuloxia,Cardinalis sinuatus,Pyrrhuloxia,Cardinalis sinuatus,958,94237
Yellow Grosbeak,Pheucticus chrysopeplus,Yellow Grosbeak,Pheucticus chrysopeplus,959,94249
Rose-breasted Grosbeak,Pheucticus ludovicianus,Rose-breasted Grosbeak,Pheucticus ludovicianus,960,94244
Black-headed Grosbeak,Pheucticus melanocephalus,Black-headed Grosbeak,Pheucticus melanocephalus,961,94246
Blue Bunting,Cyanocompsa parellina,Blue Bunting,Cyanocompsa parellina,962,85703
Blue Grosbeak,Passerina caerulea,Blue Grosbeak,Passerina caerulea,963,628204
Lazuli Bunting,Passerina amoena,Lazuli Bunting,Passerina amoena,964,94258
Indigo Bunting,Passerina cyanea,Indigo Bunting,Passerina cyanea,965,94257
Varied Bunting,Passerina versicolor,Varied Bunting,Passerina versicolor,966,94259
Painted Bunting,Passerina ciris,Painted Bunting,Passerina ciris,967,94263
Dickcissel,Spiza americana,Dickcissel,Spiza americana,968,94273
Bobolink,Dolichonyx oryzivorus,Bobolink,Dolichonyx oryzivorus,969,93599
Red-winged Blackbird,Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,970,93613
Tricolored Blackbird,Agelaius tricolor,Tricoloured Blackbird,Agelaius tricolor,971,93630
Tawny-shouldered Blackbird,Agelaius humeralis,Tawny-shouldered Blackbird,Agelaius humeralis,972,93631
Eastern Meadowlark,Sturnella magna,Eastern Meadowlark,Sturnella magna,973,93601
Western Meadowlark,Sturnella neglecta,Western Meadowlark,Sturnella neglecta,974,93606
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,975,93611
Rusty Blackbird,Euphagus carolinus,Rusty Blackbird,Euphagus carolinus,976,93664
Brewer's Blackbird,Euphagus cyanocephalus,Brewer's Blackbird,Euphagus cyanocephalus,977,93667
Common Grackle,Quiscalus quiscula,Common Grackle,Quiscalus quiscula,978,94206
Boat-tailed Grackle,Quiscalus major,Boat-tailed Grackle,Quiscalus major,979,94210
Great-tailed Grackle,Quiscalus mexicanus,Great-tailed Grackle,Quiscalus mexicanus,980,94211
Shiny Cowbird,Molothrus bonariensis,Shiny Cowbird,Molothrus bonariensis,981,94220
Bronzed Cowbird,Molothrus aeneus,Bronzed Cowbird,Molothrus aeneus,982,94219
Brown-headed Cowbird,Molothrus ater,Brown-headed Cowbird,Molothrus ater,983,94215
Black-vented Oriole,Icterus wagleri,Black-vented Oriole,Icterus wagleri,984,93661
Orchard Oriole,Icterus spurius,Orchard Oriole,Icterus spurius,985,93634
Hooded Oriole,Icterus cucullatus,Hooded Oriole,Icterus cucullatus,986,93641
Streak-backed Oriole,Icterus pustulatus,Streak-backed Oriole,Icterus pustulatus,987,93650
Bullock's Oriole,Icterus bullockii,Bullock's Oriole,Icterus bullockii,988,264102
Spot-breasted Oriole,Icterus pectoralis,Spot-breasted Oriole,Icterus pectoralis,989,93638
Altamira Oriole,Icterus gularis,Altamira Oriole,Icterus gularis,990,93647
Audubon's Oriole,Icterus graduacauda,Audubon's Oriole,Icterus graduacauda,991,93635
Baltimore Oriole,Icterus galbula,Baltimore Oriole,Icterus galbula,992,93655
Scott's Oriole,Icterus parisorum,Scott's Oriole,Icterus parisorum,993,93654
