CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Magnificent Frigatebird,Fregata magnificens,Magnificent Frigatebird,Fregata magnificens,424,84405
Great Frigatebird,Fregata minor,Great Frigatebird,Fregata minor,425,84408
Lesser Frigatebird,Fregata ariel,Lesser Frigatebird,Fregata ariel,426,84411
Masked Booby,Sula dactylatra,Masked Booby,Sula dactylatra,427,83398
Blue-footed Booby,Sula nebouxii,Blue-footed Booby,Sula nebouxii,428,83403
Brown Booby,Sula leucogaster,Brown Booby,Sula leucogaster,429,83405
Red-footed Booby,Sula sula,Red-footed Booby,Sula sula,430,83408
Northern Gannet,Morus bassanus,Northern Gannet,Morus bassanus,431,83414
Brandt's Cormorant,Phalacrocorax penicillatus,Brandt's Cormorant,Phalacrocorax penicillatus,432,83427
Neotropic Cormorant,Phalacrocorax brasilianus,Neotropical Cormorant,Phalacrocorax brasilianus,433,265859
Double-crested Cormorant,Phalacrocorax auritus,Double-crested Cormorant,Phalacrocorax auritus,434,83419
Great Cormorant,Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo,435,83417
Red-faced Cormorant,Phalacrocorax urile,Red-faced Cormorant,Phalacrocorax urile,436,83431
Pelagic Cormorant,Phalacrocorax pelagicus,Pelagic Cormorant,Phalacrocorax pelagicus,437,83428
Anhinga,Anhinga anhinga,Anhinga,Anhinga anhinga,438,83461
American White Pelican,Pelecanus erythrorhynchos,American White Pelican,Pelecanus erythrorhynchos,439,83382
Brown Pelican,Pelecanus occidentalis,Brown Pelican,Pelecanus occidentalis,440,83383
American Bittern,Botaurus lentiginosus,American Bittern,Botaurus lentiginosus,441,84508
Yellow Bittern,Ixobrychus sinensis,Yellow Bittern,Ixobrychus sinensis,442,84503
Least Bittern,Ixobrychus exilis,Least Bittern,Ixobrychus exilis,443,84497
Bare-throated Tiger-Heron,Tigrisoma mexicanum,Bare-throated Tiger-heron,Tigrisoma mexicanum,444,85473
Great Blue Heron,Ardea herodias,Great Blue Heron,Ardea herodias,445,84416
Gray Heron,Ardea cinerea,Grey Heron,Ardea cinerea,446,84425
Great Egret,Ardea alba,Great White Egret,Ardea alba,447,266951
Intermediate Egret,Mesophoyx intermedia,Intermediate Egret,Ardea intermedia,448,265375
Chinese Egret,Egretta eulophotes,Chinese Egret,Egretta eulophotes,449,84470
Little Egret,Egretta garzetta,Little Egret,Egretta garzetta,450,84464
Western Reef-Heron,Egretta gularis,,Egretta gularis,451,84471
Snowy Egret,Egretta thula,Snowy Egret,Egretta thula,452,84461
Little Blue Heron,Egretta caerulea,Little Blue Heron,Egretta caerulea,453,84476
Tricolored Heron,Egretta tricolor,Tricolored Heron,Egretta tricolor,454,84475
Reddish Egret,Egretta rufescens,Reddish Egret,Egretta rufescens,455,84473
Cattle Egret,Bubulcus ibis,Cattle Egret,Bubulcus ibis,456,84450
Chinese Pond-Heron,Ardeola bacchus,Chinese Pond-heron,Ardeola bacchus,457,84514
Green Heron,Butorides virescens,,Butorides virescens,458,84438
Black-crowned Night-Heron,Nycticorax nycticorax,Black-crowned Night-heron,Nycticorax nycticorax,459,84482
Yellow-crowned Night-Heron,Nyctanassa violacea,Yellow-crowned Night-heron,Nyctanassa violacea,460,84493
White Ibis,Eudocimus albus,White Ibis,Eudocimus albus,461,85526
Scarlet Ibis,Eudocimus ruber,Scarlet Ibis,Eudocimus ruber,462,85527
Glossy Ibis,Plegadis falcinellus,Glossy Ibis,Plegadis falcinellus,463,85519
White-faced Ibis,Plegadis chihi,White-faced Ibis,Plegadis chihi,464,85521
Roseate Spoonbill,Platalea ajaja,Roseate Spoonbill,Platalea ajaja,465,85538
Black Vulture,Coragyps atratus,American Black Vulture,Coragyps atratus,466,79476
Turkey Vulture,Cathartes aura,Turkey Vulture,Cathartes aura,467,79468
California Condor,Gymnogyps californianus,California Condor,Gymnogyps californianus,468,79478
Osprey,Pandion haliaetus,Osprey,Pandion haliaetus,469,81838
Hook-billed Kite,Chondrohierax uncinatus,Hook-billed Kite,Chondrohierax uncinatus,470,80475
Swallow-tailed Kite,Elanoides forficatus,Swallow-tailed Kite,Elanoides forficatus,471,79494
White-tailed Kite,Elanus leucurus,White-tailed Kite,Elanus leucurus,472,79487
Snail Kite,Rostrhamus sociabilis,Snail Kite,Rostrhamus sociabilis,473,79501
Double-toothed Kite,Harpagus bidentatus,Double-toothed Kite,Harpagus bidentatus,474,80490
Mississippi Kite,Ictinia mississippiensis,Mississippi Kite,Ictinia mississippiensis,475,264104
